ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
63581743,0,60.0,0,11.0,67349.0,False,0.0,False,M,PhD,Professional,14,Private,14230.0,11,Minivan,True,4461.0,2,False,3,0.0,18.0,False,Highly Urban/ Urban
132761049,0,43.0,0,11.0,91449.0,False,257252.0,False,M,High School,Blue Collar,22,Commercial,14940.0,1,Minivan,True,0.0,0,False,0,0.0,1.0,False,Highly Urban/ Urban
921317019,0,48.0,0,11.0,52881.0,False,0.0,False,M,Bachelors,Manager,26,Private,21970.0,1,Van,True,0.0,0,False,2,0.0,10.0,False,Highly Urban/ Urban
727598473,0,35.0,1,10.0,16039.0,False,124191.0,True,F,High School,Clerical,5,Private,4010.0,4,SUV,False,38690.0,2,False,3,0.0,10.0,False,Highly Urban/ Urban
450221861,0,51.0,0,14.0,,False,306251.0,True,M,<High School,Blue Collar,32,Private,15440.0,7,Minivan,True,0.0,0,False,0,0.0,6.0,False,Highly Urban/ Urban
743146596,0,50.0,0,,114986.0,False,243925.0,True,F,PhD,Doctor,36,Private,18000.0,1,SUV,False,19217.0,2,True,3,0.0,17.0,False,Highly Urban/ Urban
871024631,0,34.0,1,12.0,125301.0,True,0.0,False,F,Bachelors,Blue Collar,46,Commercial,17430.0,1,Sports Car,False,0.0,0,False,0,2946.0,7.0,True,Highly Urban/ Urban
792300541,0,54.0,0,,18755.0,False,,True,F,<High School,Blue Collar,33,Private,8780.0,1,SUV,False,0.0,0,False,0,0.0,1.0,False,Highly Urban/ Urban
7945239,1,40.0,1,11.0,50815.0,True,0.0,False,M,High School,Manager,21,Private,18930.0,6,Minivan,False,3295.0,1,False,2,6477.0,1.0,True,Highly Urban/ Urban
3577610,0,44.0,2,12.0,43486.0,True,0.0,False,F,High School,Blue Collar,30,Commercial,5900.0,10,SUV,False,0.0,0,False,0,0.0,10.0,False,Highly Rural/ Rural
892208080,1,37.0,2,,107961.0,False,333680.0,True,M,Bachelors,Blue Collar,44,Commercial,16970.0,1,Van,True,2374.0,1,True,10,4021.0,7.0,True,Highly Urban/ Urban
77382913,0,34.0,0,10.0,62978.0,False,0.0,False,F,Bachelors,Clerical,34,Private,11200.0,1,SUV,False,0.0,0,False,0,2501.0,1.0,True,Highly Urban/ Urban
856886560,0,50.0,0,7.0,106952.0,False,0.0,False,M,Bachelors,Professional,48,Commercial,18510.0,7,Van,False,0.0,0,False,1,0.0,17.0,False,Highly Rural/ Rural
